filename, language, HTML, PHP, JavaScript, SCSS, CSS, comment, blank, total
c:\xampp2\htdocs\instructionword\db\common.php, PHP, 0, 78, 0, 0, 0, 14, 11, 103
c:\xampp2\htdocs\instructionword\index.html, HTML, 208, 0, 0, 0, 0, 1, 14, 223
c:\xampp2\htdocs\instructionword\js\index.js, JavaScript, 0, 0, 155, 0, 0, 12, 24, 191
c:\xampp2\htdocs\instructionword\js\postOutput.js, JavaScript, 0, 0, 0, 0, 0, 0, 1, 1
c:\xampp2\htdocs\instructionword\modules\buildmarkers.js, JavaScript, 0, 0, 82, 0, 0, 0, 0, 82
c:\xampp2\htdocs\instructionword\modules\funcs.js, JavaScript, 0, 0, 403, 0, 0, 6, 26, 435
c:\xampp2\htdocs\instructionword\modules\ui_switch.js, JavaScript, 0, 0, 203, 0, 0, 5, 2, 210
c:\xampp2\htdocs\instructionword\modules\vars.js, JavaScript, 0, 0, 68, 0, 0, 0, 6, 74
c:\xampp2\htdocs\instructionword\register.php, PHP, 0, 106, 0, 0, 0, 2, 4, 112
c:\xampp2\htdocs\instructionword\regtest.php, PHP, 0, 7, 0, 0, 0, 0, 0, 7
c:\xampp2\htdocs\instructionword\scss\animations.css, CSS, 0, 0, 0, 0, 40, 1, 4, 45
c:\xampp2\htdocs\instructionword\scss\animations.scss, SCSS, 0, 0, 0, 40, 0, 0, 4, 44
c:\xampp2\htdocs\instructionword\scss\buttons.css, CSS, 0, 0, 0, 0, 87, 1, 17, 105
c:\xampp2\htdocs\instructionword\scss\buttons.scss, SCSS, 0, 0, 0, 82, 0, 0, 18, 100
c:\xampp2\htdocs\instructionword\scss\chat.css, CSS, 0, 0, 0, 0, 42, 1, 9, 52
c:\xampp2\htdocs\instructionword\scss\chat.scss, SCSS, 0, 0, 0, 33, 0, 0, 6, 39
c:\xampp2\htdocs\instructionword\scss\colours.css, CSS, 0, 0, 0, 0, 1, 0, 0, 1
c:\xampp2\htdocs\instructionword\scss\colours.scss, SCSS, 0, 0, 0, 20, 0, 6, 10, 36
c:\xampp2\htdocs\instructionword\scss\content.css, CSS, 0, 0, 0, 0, 88, 1, 19, 108
c:\xampp2\htdocs\instructionword\scss\content.scss, SCSS, 0, 0, 0, 105, 0, 0, 24, 129
c:\xampp2\htdocs\instructionword\scss\globalStyles.css, CSS, 0, 0, 0, 0, 8, 1, 1, 10
c:\xampp2\htdocs\instructionword\scss\globalStyles.scss, SCSS, 0, 0, 0, 150, 0, 6, 31, 187
c:\xampp2\htdocs\instructionword\scss\header.css, CSS, 0, 0, 0, 0, 1, 0, 0, 1
c:\xampp2\htdocs\instructionword\scss\header.scss, SCSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\xampp2\htdocs\instructionword\scss\lBar.css, CSS, 0, 0, 0, 0, 1, 0, 0, 1
c:\xampp2\htdocs\instructionword\scss\lBar.scss, SCSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\xampp2\htdocs\instructionword\scss\main.css, CSS, 0, 0, 0, 0, 844, 4, 136, 984
c:\xampp2\htdocs\instructionword\scss\main.scss, SCSS, 0, 0, 0, 14, 0, 0, 0, 14
c:\xampp2\htdocs\instructionword\scss\media.css, CSS, 0, 0, 0, 0, 94, 1, 0, 95
c:\xampp2\htdocs\instructionword\scss\media.scss, SCSS, 0, 0, 0, 88, 0, 0, 2, 90
c:\xampp2\htdocs\instructionword\scss\modals.css, CSS, 0, 0, 0, 0, 85, 1, 10, 96
c:\xampp2\htdocs\instructionword\scss\modals.scss, SCSS, 0, 0, 0, 78, 0, 0, 10, 88
c:\xampp2\htdocs\instructionword\scss\rBar.css, CSS, 0, 0, 0, 0, 1, 0, 0, 1
c:\xampp2\htdocs\instructionword\scss\rBar.scss, SCSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\xampp2\htdocs\instructionword\scss\syntax.css, CSS, 0, 0, 0, 0, 24, 1, 5, 30
c:\xampp2\htdocs\instructionword\scss\syntax.scss, SCSS, 0, 0, 0, 24, 0, 0, 5, 29
c:\xampp2\htdocs\instructionword\scss\ui.css, CSS, 0, 0, 0, 0, 189, 1, 30, 220
c:\xampp2\htdocs\instructionword\scss\ui.scss, SCSS, 0, 0, 0, 149, 0, 27, 30, 206
c:\xampp2\htdocs\instructionword\scss\vars.css, CSS, 0, 0, 0, 0, 1, 0, 0, 1
c:\xampp2\htdocs\instructionword\scss\vars.scss, SCSS, 0, 0, 0, 6, 0, 0, 1, 7
c:\xampp2\htdocs\instructionword\server.php, PHP, 0, 227, 0, 0, 0, 9, 4, 240
Total, -, 208, 418, 911, 789, 1506, 101, 467, 4400
